row_id,stem摘要,提议case_group_id,提议subquestion_index,归属证据,置信度,case_group_fingerprint,row_granularity,gen,group_size,group_distinct_indexes,index_duplicated,index_answer_conflict,group_contiguous,exam_year,original_id,source_chunk_id,has_answer
8745,3. 对需要市政停水、封路而影响环境时的正确做法是什么？,2017-case6,3,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g1_auto|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g1_auto,10,5,True,False,True,2017,AUTO_41d45625e2a636d0,,True
17090,3. 对需要市政停水、封路而影响环境时的正确做法是什么？,2017-case6,3,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g3_exam_year,10,5,True,False,True,2017,EXAM_2017_1A434000_2b033f4d,,True
8746,4. 说明混凝土结构实体检验管理的正确做法。该钻芯检验部位C35混凝土实体检验结论是什么？并说明理由。,2017-case6,4,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g1_auto|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g1_auto,10,5,True,False,True,2017,AUTO_631038a5ebb7285a,,True
17091,4. 说明混凝土结构实体检验管理的正确做法。该钻芯检验部位C35混凝土实体检验结论是什么？并说明理由。,2017-case6,4,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g3_exam_year,10,5,True,False,True,2017,EXAM_2017_1A434000_95ec41e5,,True
8747,5. 《单位工程质量竣工验收表》中“验收记录”、“验收结论”、“综合验收结论”应该由哪些单位填写？“综合验收结论”应该包含哪些内容？,2017-case6,5,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g1_auto|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g1_auto,10,5,True,False,True,2017,AUTO_791d9f476dfde6dc,,True
17092,5. 《单位工程质量竣工验收表》中“验收记录”、“验收结论”、“综合验收结论”应该由哪些单位填写？“综合验收结论”应该包含哪些内容？,2017-case6,5,bg_fp=48e67311a62c5e57(bg261字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,48e67311a62c5e57,single_subquestion,g3_exam_year,10,5,True,False,True,2017,EXAM_2017_1A434000_d4ee5f97,,True
9152,1. 单位工程进度计划编制步骤还应包括哪些内容？,2018-case2,1,bg_fp=6b0975a526a1e819(bg325字)|idx_src=stem_ordinal|gen=g2_exam_chunk|case_no_src=page_order|anchor=案例分析(二)问题1-4|case_hash8=806166f6,high,6b0975a526a1e819,single_subquestion,g2_exam_chunk,11,4,True,False,True,2018,EXAM_1A433000_P0013_01_CASE_806166f6,EXAM_1A433000_P0013_01,True
17123,1. 单位工程进度计划编制步骤还应包括哪些内容？,2018-case2,1,bg_fp=6b0975a526a1e819(bg325字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,6b0975a526a1e819,single_subquestion,g3_exam_year,11,4,True,False,True,2018,EXAM_2018_1A433000_637ac5af,,True
8773,2. 图2中工程总工期是多少？管道安装的总时差和自由时差分别是多少？除工期优化外，进度网络计划的优化目标还有哪些？,2018-case2,2,bg_fp=6b0975a526a1e819(bg325字)|idx_src=stem_ordinal|gen=g1_auto|case_no_src=page_order,high,6b0975a526a1e819,single_subquestion,g1_auto,11,4,True,False,True,2018,AUTO_c1ca6627659c2f3a,,True
17124,2. 图2中工程总工期是多少？管道安装的总时差和自由时差分别是多少？除工期优化外，进度网络计划的优化目标还有哪些？,2018-case2,2,bg_fp=6b0975a526a1e819(bg325字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,6b0975a526a1e819,single_subquestion,g3_exam_year,11,4,True,False,True,2018,EXAM_2018_1A433000_1e40bc17,,True
8774,3. 监理工程师的建议是否合理？网架安装方法还有哪些？网架高空散装法施工的特点还有哪些？,2018-case2,3,bg_fp=6b0975a526a1e819(bg325字)|idx_src=stem_ordinal|gen=g1_auto|case_no_src=page_order,high,6b0975a526a1e819,single_subquestion,g1_auto,11,4,True,False,True,2018,AUTO_ba3b363307b3fd97,,True
17125,3. 监理工程师的建议是否合理？网架安装方法还有哪些？网架高空散装法施工的特点还有哪些？,2018-case2,3,bg_fp=6b0975a526a1e819(bg325字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,6b0975a526a1e819,single_subquestion,g3_exam_year,11,4,True,False,True,2018,EXAM_2018_1A433000_b2e29897,,True
8775,4. 施工单位提出的工期索赔是否成立？并说明理由。,2018-case2,4,bg_fp=6b0975a526a1e819(bg325字)|idx_src=stem_ordinal|gen=g1_auto|case_no_src=page_order,high,6b0975a526a1e819,single_subquestion,g1_auto,11,4,True,False,True,2018,AUTO_ff45c71b5308ecc8,,True
17126,4. 施工单位提出的工期索赔是否成立？并说明理由。,2018-case2,4,bg_fp=6b0975a526a1e819(bg325字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,6b0975a526a1e819,single_subquestion,g3_exam_year,11,4,True,False,True,2018,EXAM_2018_1A433000_56bfece3,,True
9168,2. 指出土方回填施工中的不妥之处？并写出正确做法。,2018-case3,2,bg_fp=8762c23edc95d4e0(bg369字)|idx_src=stem_ordinal|gen=g2_exam_chunk|case_no_src=page_order|anchor=案例分析(三)问题2|case_hash8=af1d532b,medium,8762c23edc95d4e0,single_subquestion,g2_exam_chunk,4,2,True,False,False,2018,EXAM_1A434000_P0015_01_CASE_af1d532b,EXAM_1A434000_P0015_01,True
17127,2. 指出土方回填施工中的不妥之处？并写出正确做法。,2018-case3,2,bg_fp=8762c23edc95d4e0(bg369字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,medium,8762c23edc95d4e0,single_subquestion,g3_exam_year,4,2,True,False,False,2018,EXAM_2018_1A434000_c8ee4ce9,,True
9169,3. 指出“后浇带专项方案”中的不妥之处？写出后浇带混凝土施工的主要技术措施。,2018-case3,3,bg_fp=8762c23edc95d4e0(bg369字)|idx_src=stem_ordinal|gen=g2_exam_chunk|case_no_src=page_order|anchor=案例分析(三)问题3|case_hash8=af1d532b,medium,8762c23edc95d4e0,single_subquestion,g2_exam_chunk,4,2,True,False,False,2018,EXAM_1A434000_P0016_02_CASE_af1d532b,EXAM_1A434000_P0016_02,True
17128,3. 指出“后浇带专项方案”中的不妥之处？写出后浇带混凝土施工的主要技术措施。,2018-case3,3,bg_fp=8762c23edc95d4e0(bg369字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,medium,8762c23edc95d4e0,single_subquestion,g3_exam_year,4,2,True,False,False,2018,EXAM_2018_1A434000_57e44407,,True
9174,3. 计算本工程签约合同价（单位万元，保留2位小数）。双方在工程量清单计价管理中应遵守的强制性规定还有哪些？,2018-case4,3,bg_fp=a895fb098a8b8288(bg461字)|idx_src=stem_ordinal|gen=g2_exam_chunk|case_no_src=page_order|anchor=问题3|case_hash8=ec2c074a,medium,a895fb098a8b8288,single_subquestion,g2_exam_chunk,5,1,True,False,False,2018,EXAM_1A432000_P0020_04_CASE_ec2c074a,EXAM_1A432000_P0020_04,True
17134,3. 计算本工程签约合同价（单位万元，保留2位小数）。双方在工程量清单计价管理中应遵守的强制性规定还有哪些？,2018-case4,3,bg_fp=a895fb098a8b8288(bg461字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,medium,a895fb098a8b8288,single_subquestion,g3_exam_year,5,1,True,False,False,2018,EXAM_2018_1A432000_bf0e314a,,True
9173,【背景资料】 2、本工程设计采用了某种新材料，总包单位为此支付给检测单位检验试验费 460 万元，要求开发商承担。 3、工程主体完工 3 个月后总包单位为配合开发商自行发包的燃气等专业工程施工，脚手架留置比计划延长 2 个月拆除。为此要求开发商支付 2 个月脚手架租赁费 68.0,2018-case5,1,bg_fp=b5d60f714d800caf(bg233字)|idx_src=stem_tail_ordinal|gen=g2_exam_chunk|case_no_src=page_order|anchor=第3题|case_hash8=11885328,medium,b5d60f714d800caf,single_subquestion,g2_exam_chunk,6,1,True,True,True,2018,EXAM_1A432000_P0019_01_CASE_11885328,EXAM_1A432000_P0019_01,True
9175,【背景资料】 2、本工程设计采用了某种新材料，总包单位为此支付给检测单位检验试验费 460 万元，要求开发商承担。 3、工程主体完工 3 个月后总包单位为配合开发商自行发包的燃气等专业工程施工，脚手架留置比计划延长 2 个月拆除。为此要求开发商支付 2 个月脚手架租赁费 68.0,2018-case5,1,bg_fp=b5d60f714d800caf(bg272字)|idx_src=stem_tail_ordinal|gen=g2_exam_chunk|case_no_src=page_order|anchor=第4题|case_hash8=11885328,medium,b5d60f714d800caf,single_subquestion,g2_exam_chunk,6,1,True,True,True,2018,EXAM_1A432000_P0020_02_CASE_11885328,EXAM_1A432000_P0020_02,True
17133,【背景资料】 2、本工程设计采用了某种新材料，总包单位为此支付给检测单位检验试验费 460 万元，要求开发商承担。 3、工程主体完工 3 个月后总包单位为配合开发商自行发包的燃气等专业工程施工，脚手架留置比计划延长 2 个月拆除。为此要求开发商支付 2 个月脚手架租赁费 68.0,2018-case5,1,bg_fp=b5d60f714d800caf(bg233字)|idx_src=stem_tail_ordinal|gen=g3_exam_year|case_no_src=page_order,medium,b5d60f714d800caf,single_subquestion,g3_exam_year,6,1,True,True,True,2018,EXAM_2018_1A432000_b8c9748b,,True
17135,【背景资料】 2、本工程设计采用了某种新材料，总包单位为此支付给检测单位检验试验费 460 万元，要求开发商承担。 3、工程主体完工 3 个月后总包单位为配合开发商自行发包的燃气等专业工程施工，脚手架留置比计划延长 2 个月拆除。为此要求开发商支付 2 个月脚手架租赁费 68.0,2018-case5,1,bg_fp=b5d60f714d800caf(bg272字)|idx_src=stem_tail_ordinal|gen=g3_exam_year|case_no_src=page_order,medium,b5d60f714d800caf,single_subquestion,g3_exam_year,6,1,True,True,True,2018,EXAM_2018_1A432000_1278b5ce,,True
9179,1. 施工机械设备选择的原则和方法分别还有哪些？当塔吊起吊荷载达到额定起重星90%以上对起重设备和重物的检查项目有哪些？,2018-case6,1,bg_fp=f7d08a888bf26a01(bg479字)|idx_src=stem_ordinal|gen=g2_exam_chunk|case_no_src=page_order|anchor=问题1|case_hash8=866ab318,high,f7d08a888bf26a01,single_subquestion,g2_exam_chunk,4,2,True,False,True,2018,EXAM_1A436000_P0022_02_CASE_866ab318,EXAM_1A436000_P0022_02,True
17137,1. 施工机械设备选择的原则和方法分别还有哪些？当塔吊起吊荷载达到额定起重星90%以上对起重设备和重物的检查项目有哪些？,2018-case6,1,bg_fp=f7d08a888bf26a01(bg479字)|idx_src=stem_ordinal|gen=g3_exam_year|case_no_src=page_order,high,f7d08a888bf26a01,single_subquestion,g3_exam_year,4,2,True,False,True,2018,EXAM_2018_1A436000_7cc8eb4d,,True
